Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Mohamed Salah,eg EGY,FW,Liverpool,32-200,1992,18,18,1582,17.6,17,13,30,13,4,4,1,0,15.4,12.3,7.5,19.8,71,66,209,0.97,0.74,1.71,0.74,1.48,0.88,0.43,1.30,0.70,1.13
William Saliba,fr FRA,DF,Arsenal,23-283,2001,17,17,1469,16.3,2,0,2,2,0,0,2,1,1.9,1.9,0.5,2.4,8,56,2,0.12,0.00,0.12,0.12,0.12,0.12,0.03,0.15,0.12,0.15
Robert Sánchez,es ESP,GK,Chelsea,27-044,1997,17,17,1530,17.0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jadon Sancho,eng ENG,FW,Chelsea,24-282,2000,13,9,786,8.7,2,3,5,2,0,0,1,0,1.0,1.0,2.1,3.1,50,45,110,0.23,0.34,0.57,0.23,0.57,0.12,0.24,0.36,0.12,0.36
Ibrahim Sangaré,ci CIV,MF,Nott'ham Forest,27-030,1997,3,3,212,2.4,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,8,2,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01
Pablo Sarabia,es ESP,"MF,FW",Wolves,32-235,1992,5,2,181,2.0,1,0,1,1,0,0,1,0,1.4,1.4,0.4,1.9,4,12,13,0.50,0.00,0.50,0.50,0.50,0.71,0.22,0.93,0.71,0.93
Jeremy Sarmiento,ec ECU,MF,Brighton,22-199,2002,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ismaila Sarr,sn SEN,"MF,FW",Crystal Palace,26-311,1998,19,12,1184,13.2,4,2,6,4,0,0,3,0,3.8,3.8,3.6,7.4,35,33,88,0.30,0.15,0.46,0.30,0.46,0.29,0.27,0.56,0.29,0.56
Sávio,br BRA,"FW,MF",Manchester City,20-266,2004,16,11,911,10.1,1,3,4,1,0,0,2,0,2.5,2.5,3.9,6.4,81,39,129,0.10,0.30,0.40,0.10,0.40,0.25,0.38,0.63,0.25,0.63
Oliver Scarles,eng ENG,DF,West Ham,19-020,2005,2,0,36,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
